Codigo; Precio ;FECHA INICIO;FECHA FIN;CODIG LOCAL
511937; 38.10 ;25/03/2022;22/04/2022;DR4
161119; 81.77 ;25/03/2022;22/04/2022;DR4
132781; 0.63 ;25/03/2022;22/04/2022;DR4
535427; 1.19 ;25/03/2022;22/04/2022;DR4
170522; 17.94 ;25/03/2022;22/04/2022;DR4
513033; 29.55 ;25/03/2022;22/04/2022;DR4
133027; 1.65 ;25/03/2022;22/04/2022;DR4
139916; 1.03 ;25/03/2022;22/04/2022;DR4
131269; 3.59 ;25/03/2022;22/04/2022;DR4
139459; 5.08 ;25/03/2022;22/04/2022;DR4
577567; 1.67 ;25/03/2022;22/04/2022;DR4
161670; 2.43 ;25/03/2022;22/04/2022;DR4
102456; 34.18 ;25/03/2022;22/04/2022;DR4
133107; 26.08 ;25/03/2022;22/04/2022;DR4
163345; 20.41 ;25/03/2022;22/04/2022;DR4
120155; 45.97 ;25/03/2022;22/04/2022;DR4
526077; 2.42 ;25/03/2022;22/04/2022;DR4
526078; 3.49 ;25/03/2022;22/04/2022;DR4
133175; 17.96 ;25/03/2022;22/04/2022;DR4
131561; 2.16 ;25/03/2022;22/04/2022;DR4
511960; 6.21 ;25/03/2022;22/04/2022;DR4
572853; 4.35 ;25/03/2022;22/04/2022;DR4
137677; 16.76 ;25/03/2022;22/04/2022;DR4
137678; 15.95 ;25/03/2022;22/04/2022;DR4
102528; 28.82 ;25/03/2022;22/04/2022;DR4
513362; 28.04 ;25/03/2022;22/04/2022;DR4
193626; 12.29 ;25/03/2022;22/04/2022;DR4
514072; 17.04 ;25/03/2022;22/04/2022;DR4
133363; 1.83 ;25/03/2022;22/04/2022;DR4
133466; 1.17 ;25/03/2022;22/04/2022;DR4
183009; 27.50 ;25/03/2022;22/04/2022;DR4
123570; 107.99 ;25/03/2022;22/04/2022;DR4
513415; 13.38 ;25/03/2022;22/04/2022;DR4
134140; 8.26 ;25/03/2022;22/04/2022;DR4
531893; 2.60 ;25/03/2022;22/04/2022;DR4
531894; 5.35 ;25/03/2022;22/04/2022;DR4
172773; 4.10 ;25/03/2022;22/04/2022;DR4
168941; 5.31 ;25/03/2022;22/04/2022;DR4
168942; 1.61 ;25/03/2022;22/04/2022;DR4
533363; 6.89 ;25/03/2022;22/04/2022;DR4
533362; 3.95 ;25/03/2022;22/04/2022;DR4
132170; 0.77 ;25/03/2022;22/04/2022;DR4
132175; 0.64 ;25/03/2022;22/04/2022;DR4
137857; 3.07 ;25/03/2022;22/04/2022;DR4
137860; 4.43 ;25/03/2022;22/04/2022;DR4
137867; 6.97 ;25/03/2022;22/04/2022;DR4
205379; 6.65 ;25/03/2022;22/04/2022;DR4
132190; 16.71 ;25/03/2022;22/04/2022;DR4
132146; 2.57 ;25/03/2022;22/04/2022;DR4
511873; 15.80 ;25/03/2022;22/04/2022;DR4
193804; 15.97 ;25/03/2022;22/04/2022;DR4
132164; 5.39 ;25/03/2022;22/04/2022;DR4
132173; 0.62 ;25/03/2022;22/04/2022;DR4
142068; 23.62 ;25/03/2022;22/04/2022;DR4
514852; 12.90 ;25/03/2022;22/04/2022;DR4
138792; 7.38 ;25/03/2022;22/04/2022;DR4
513162; 130.81 ;25/03/2022;22/04/2022;DR4
140795; 0.69 ;25/03/2022;22/04/2022;DR4
572011; 0.73 ;25/03/2022;22/04/2022;DR4
514043; 0.98 ;25/03/2022;22/04/2022;DR4
572085; 0.77 ;25/03/2022;22/04/2022;DR4
140790; 0.69 ;25/03/2022;22/04/2022;DR4
134440; 16.45 ;25/03/2022;22/04/2022;DR4
134446; 13.91 ;25/03/2022;22/04/2022;DR4
134458; 7.19 ;25/03/2022;22/04/2022;DR4
510801; 14.54 ;25/03/2022;22/04/2022;DR4
134501; 2.91 ;25/03/2022;22/04/2022;DR4
553828; 15.12 ;25/03/2022;22/04/2022;DR4
162174; 25.17 ;25/03/2022;22/04/2022;DR4
570922; 0.55 ;25/03/2022;22/04/2022;DR4
570183; 1.36 ;25/03/2022;22/04/2022;DR4
203122; 1.15 ;25/03/2022;22/04/2022;DR4
203123; 5.90 ;25/03/2022;22/04/2022;DR4
203125; 2.84 ;25/03/2022;22/04/2022;DR4
158952; 3.58 ;25/03/2022;22/04/2022;DR4
159343; 5.90 ;25/03/2022;22/04/2022;DR4
512800; 24.27 ;25/03/2022;22/04/2022;DR4
511299; 19.05 ;25/03/2022;22/04/2022;DR4
169122; 54.53 ;25/03/2022;22/04/2022;DR4
169123; 73.37 ;25/03/2022;22/04/2022;DR4
100382; 34.65 ;25/03/2022;22/04/2022;DR4
100381; 23.25 ;25/03/2022;22/04/2022;DR4
136115; 40.58 ;25/03/2022;22/04/2022;DR4
514574; 41.10 ;25/03/2022;22/04/2022;DR4
514576; 35.63 ;25/03/2022;22/04/2022;DR4
514572; 50.33 ;25/03/2022;22/04/2022;DR4
514571; 43.45 ;25/03/2022;22/04/2022;DR4
514575; 36.22 ;25/03/2022;22/04/2022;DR4
237711; 32.87 ;25/03/2022;22/04/2022;DR4
134862; 50.04 ;25/03/2022;22/04/2022;DR4
103079; 24.48 ;25/03/2022;22/04/2022;DR4
553791; 1.35 ;25/03/2022;22/04/2022;DR4
553792; 11.86 ;25/03/2022;22/04/2022;DR4
553793; 1.18 ;25/03/2022;22/04/2022;DR4
553794; 5.74 ;25/03/2022;22/04/2022;DR4
514959; 87.94 ;25/03/2022;22/04/2022;DR4
640011; 19.78 ;25/03/2022;22/04/2022;DR4
640039; 17.12 ;25/03/2022;22/04/2022;DR4
553835; 12.39 ;25/03/2022;22/04/2022;DR4
553836; 1.94 ;25/03/2022;22/04/2022;DR4
510078; 4.67 ;25/03/2022;22/04/2022;DR4
512626; 6.02 ;25/03/2022;22/04/2022;DR4
135129; 19.69 ;25/03/2022;22/04/2022;DR4
512488; 1.61 ;25/03/2022;22/04/2022;DR4
511996; 44.91 ;25/03/2022;22/04/2022;DR4
135204; 7.21 ;25/03/2022;22/04/2022;DR4
511984; 12.20 ;25/03/2022;22/04/2022;DR4
578945; 0.69 ;25/03/2022;22/04/2022;DR4
512842; 14.85 ;25/03/2022;22/04/2022;DR4
553842; 1.16 ;25/03/2022;22/04/2022;DR4
553843; 1.07 ;25/03/2022;22/04/2022;DR4
510439; 85.33 ;25/03/2022;22/04/2022;DR4
553852; 1.63 ;25/03/2022;22/04/2022;DR4
526250; 5.04 ;25/03/2022;22/04/2022;DR4
526252; 2.42 ;25/03/2022;22/04/2022;DR4
553853; 0.53 ;25/03/2022;22/04/2022;DR4
526256; 0.88 ;25/03/2022;22/04/2022;DR4
526924; 1.00 ;25/03/2022;22/04/2022;DR4
526925; 1.31 ;25/03/2022;22/04/2022;DR4
526249; 2.64 ;25/03/2022;22/04/2022;DR4
526267; 1.31 ;25/03/2022;22/04/2022;DR4
526926; 1.14 ;25/03/2022;22/04/2022;DR4
553854; 0.89 ;25/03/2022;22/04/2022;DR4
526929; 1.84 ;25/03/2022;22/04/2022;DR4
526271; 0.82 ;25/03/2022;22/04/2022;DR4
526277; 1.61 ;25/03/2022;22/04/2022;DR4
124096; 14.17 ;25/03/2022;22/04/2022;DR4
124034; 7.40 ;25/03/2022;22/04/2022;DR4
117336; 13.05 ;25/03/2022;22/04/2022;DR4
156616; 4.36 ;25/03/2022;22/04/2022;DR4
168991; 4.10 ;25/03/2022;22/04/2022;DR4
537189; 5.68 ;25/03/2022;22/04/2022;DR4
168988; 5.50 ;25/03/2022;22/04/2022;DR4
168990; 9.40 ;25/03/2022;22/04/2022;DR4
134384; 13.31 ;25/03/2022;22/04/2022;DR4
137689; 17.58 ;25/03/2022;22/04/2022;DR4
202362; 8.07 ;25/03/2022;22/04/2022;DR4
513084; 3.04 ;25/03/2022;22/04/2022;DR4
134829; 2.46 ;25/03/2022;22/04/2022;DR4
137809; 1.45 ;25/03/2022;22/04/2022;DR4
526189; 9.71 ;25/03/2022;22/04/2022;DR4
526190; 5.31 ;25/03/2022;22/04/2022;DR4
526191; 10.19 ;25/03/2022;22/04/2022;DR4
136519; 18.70 ;25/03/2022;22/04/2022;DR4
513502; 9.62 ;25/03/2022;22/04/2022;DR4
139734; 18.09 ;25/03/2022;22/04/2022;DR4
514181; 6.99 ;25/03/2022;22/04/2022;DR4
139731; 5.27 ;25/03/2022;22/04/2022;DR4
140114; 1.38 ;25/03/2022;22/04/2022;DR4
137693; 10.74 ;25/03/2022;22/04/2022;DR4
137697; 13.85 ;25/03/2022;22/04/2022;DR4
137106; 8.69 ;25/03/2022;22/04/2022;DR4
137088; 13.92 ;25/03/2022;22/04/2022;DR4
137093; 16.31 ;25/03/2022;22/04/2022;DR4
137091; 32.72 ;25/03/2022;22/04/2022;DR4
137095; 13.87 ;25/03/2022;22/04/2022;DR4
137100; 16.11 ;25/03/2022;22/04/2022;DR4
137096; 24.69 ;25/03/2022;22/04/2022;DR4
137025; 19.26 ;25/03/2022;22/04/2022;DR4
640040; 4.55 ;25/03/2022;22/04/2022;DR4
656925; 5.32 ;25/03/2022;22/04/2022;DR4
511927; 3.04 ;25/03/2022;22/04/2022;DR4
137136; 7.40 ;25/03/2022;22/04/2022;DR4
553862; 0.50 ;25/03/2022;22/04/2022;DR4
136324; 0.55 ;25/03/2022;22/04/2022;DR4
116226; 12.85 ;25/03/2022;22/04/2022;DR4
512451; 1.62 ;25/03/2022;22/04/2022;DR4
553864; 0.96 ;25/03/2022;22/04/2022;DR4
136368; 8.32 ;25/03/2022;22/04/2022;DR4
527150; 1.18 ;25/03/2022;22/04/2022;DR4
136477; 8.73 ;25/03/2022;22/04/2022;DR4
526157; 4.62 ;25/03/2022;22/04/2022;DR4
136536; 26.71 ;25/03/2022;22/04/2022;DR4
572337; 1.45 ;25/03/2022;22/04/2022;DR4
136579; 14.87 ;25/03/2022;22/04/2022;DR4
133401; 4.97 ;25/03/2022;22/04/2022;DR4
100956; 4.12 ;25/03/2022;22/04/2022;DR4
221538; 5.63 ;25/03/2022;22/04/2022;DR4
139355; 4.08 ;25/03/2022;22/04/2022;DR4
133596; 10.31 ;25/03/2022;22/04/2022;DR4
514070; 8.13 ;25/03/2022;22/04/2022;DR4
101102; 2.52 ;25/03/2022;22/04/2022;DR4
133712; 1.66 ;25/03/2022;22/04/2022;DR4
105781; 2.90 ;25/03/2022;22/04/2022;DR4
101090; 8.12 ;25/03/2022;22/04/2022;DR4
101091; 11.63 ;25/03/2022;22/04/2022;DR4
134107; 4.83 ;25/03/2022;22/04/2022;DR4
134215; 8.35 ;25/03/2022;22/04/2022;DR4
101089; 11.73 ;25/03/2022;22/04/2022;DR4
101095; 15.80 ;25/03/2022;22/04/2022;DR4
137920; 1.78 ;25/03/2022;22/04/2022;DR4
137922; 1.70 ;25/03/2022;22/04/2022;DR4
135056; 2.42 ;25/03/2022;22/04/2022;DR4
137836; 0.62 ;25/03/2022;22/04/2022;DR4
572493; 5.19 ;25/03/2022;22/04/2022;DR4
140159; 5.05 ;25/03/2022;22/04/2022;DR4
513952; 7.41 ;25/03/2022;22/04/2022;DR4
141569; 1.85 ;25/03/2022;22/04/2022;DR4
140160; 3.32 ;25/03/2022;22/04/2022;DR4
140140; 2.36 ;25/03/2022;22/04/2022;DR4
140149; 11.08 ;25/03/2022;22/04/2022;DR4
570216; 28.20 ;25/03/2022;22/04/2022;DR4
515931; 33.18 ;25/03/2022;22/04/2022;DR4
138877; 14.88 ;25/03/2022;22/04/2022;DR4
137729; 18.51 ;25/03/2022;22/04/2022;DR4
137703; 19.85 ;25/03/2022;22/04/2022;DR4
510441; 62.94 ;25/03/2022;22/04/2022;DR4
132502; 8.17 ;25/03/2022;22/04/2022;DR4
160379; 18.21 ;25/03/2022;22/04/2022;DR4
164452; 25.37 ;25/03/2022;22/04/2022;DR4
140734; 3.31 ;25/03/2022;22/04/2022;DR4
135167; 1.92 ;25/03/2022;22/04/2022;DR4
159111; 5.85 ;25/03/2022;22/04/2022;DR4
203726; 8.42 ;25/03/2022;22/04/2022;DR4
132803; 5.57 ;25/03/2022;22/04/2022;DR4
553878; 15.21 ;25/03/2022;22/04/2022;DR4
132994; 9.28 ;25/03/2022;22/04/2022;DR4
123631; 119.41 ;25/03/2022;22/04/2022;DR4
526558; 2.07 ;25/03/2022;22/04/2022;DR4
573783; 11.91 ;25/03/2022;22/04/2022;DR4
138257; 1.78 ;25/03/2022;22/04/2022;DR4
527046; 20.22 ;25/03/2022;22/04/2022;DR4
528453; 6.76 ;25/03/2022;22/04/2022;DR4
184091; 23.78 ;25/03/2022;22/04/2022;DR4
510846; 6.17 ;25/03/2022;22/04/2022;DR4
133405; 12.88 ;25/03/2022;22/04/2022;DR4
510849; 20.63 ;25/03/2022;22/04/2022;DR4
640425; 12.98 ;25/03/2022;22/04/2022;DR4
197660; 20.82 ;25/03/2022;22/04/2022;DR4
511420; 30.62 ;25/03/2022;22/04/2022;DR4
515288; 50.61 ;25/03/2022;22/04/2022;DR4
133891; 2.61 ;25/03/2022;22/04/2022;DR4
133895; 6.60 ;25/03/2022;22/04/2022;DR4
120198; 142.87 ;25/03/2022;22/04/2022;DR4
575606; 6.09 ;25/03/2022;22/04/2022;DR4
187561; 8.18 ;25/03/2022;22/04/2022;DR4
134508; 13.85 ;25/03/2022;22/04/2022;DR4
134469; 13.89 ;25/03/2022;22/04/2022;DR4
134476; 25.40 ;25/03/2022;22/04/2022;DR4
134506; 13.21 ;25/03/2022;22/04/2022;DR4
514425; 5.83 ;25/03/2022;22/04/2022;DR4
514423; 20.79 ;25/03/2022;22/04/2022;DR4
514426; 4.06 ;25/03/2022;22/04/2022;DR4
134530; 7.57 ;25/03/2022;22/04/2022;DR4
134535; 24.22 ;25/03/2022;22/04/2022;DR4
134532; 4.00 ;25/03/2022;22/04/2022;DR4
134568; 21.14 ;25/03/2022;22/04/2022;DR4
118453; 29.19 ;25/03/2022;22/04/2022;DR4
